threads,block_size,num_streams,sequential_ms,concurrent_ms,speedup,data_bytes
1024,64,4,20.1820,6.8413,2.9500,117288
1024,128,4,20.1318,6.8004,2.9604,117288
1024,256,4,18.8867,6.4133,2.9449,117288
1024,512,4,19.0259,6.4461,2.9515,117288
65536,64,4,1.3742,1.8606,0.7386,117288
65536,128,4,1.4961,1.8606,0.8041,117288
65536,256,4,1.3466,1.8637,0.7225,117288
65536,512,4,1.5524,1.8575,0.8357,117288
1048576,64,4,1.3865,1.8616,0.7448,117288
1048576,128,4,1.2646,1.8647,0.6782,117288
1048576,256,4,1.2759,1.8596,0.6861,117288
1048576,512,4,1.2677,1.8637,0.6802,117288
